description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1991,185000,3,1,2,4,-1,1,1,0,0,128,0,1,12
1978,290000,2,1,2,4,575,1,0,0,1,163,0,1,18
1978,355000,2,2,1,4,40,1,1,1,0,257,0,1,56
2022,410000,2,2,2,3,91,1,0,0,0,248,0,1,18
1950,259000,2,2,1,2,46,1,1,0,1,178,0,1,0
1998,312000,2,2,1,3,52,1,1,1,0,192,1,1,62
1945,170000,3,1,1,3,122,1,0,1,0,54,0,1,43
1975,650000,5,3,1,6,96,0,0,1,0,204,0,1,9
2004,315000,3,3,2,4,133,1,1,1,1,183,0,1,17
2007,319999,3,1,2,3,49,1,1,0,0,153,0,2,18
1979,190000,2,2,1,2,62,0,1,1,1,102,0,2,34
1965,340000,3,2,2,4,32,1,0,1,1,98,1,1,31
1965,357000,2,1,1,3,69,1,0,0,0,353,2,1,56
1962,275000,1,1,1,3,65,1,1,0,1,264,0,1,0
1836,100000,1,1,2,2,48,0,0,0,1,80,0,2,64
1961,399950,1,4,1,3,29,0,1,0,0,368,2,1,49
1993,410000,3,2,2,3,65,1,1,1,1,195,3,1,39
1923,300000,2,1,1,3,70,1,1,1,1,158,1,1,29
1961,690000,2,1,1,3,460,0,0,0,0,384,0,1,53
1978,258000,2,1,1,4,126,0,0,1,0,105,0,1,36
1969,225000,2,1,1,4,52,0,0,1,0,132,0,1,36
1947,100000,2,1,2,3,50,0,1,0,0,83,0,1,32
1950,261000,1,1,1,3,69,1,0,0,1,143,1,1,31
1981,525000,3,1,2,3,70,1,1,1,0,276,1,2,7
2013,295000,3,1,2,3,80,1,1,0,1,122,0,2,28
2019,346000,3,2,2,3,34,1,0,0,1,187,1,2,28
2007,510000,4,4,1,3,123,1,1,1,1,121,0,1,18
2001,270000,2,2,1,4,-14,1,1,0,0,161,0,1,12
1987,387900,3,1,2,4,15,1,1,1,0,160,0,1,30
1927,570000,3,1,3,4,82,0,0,1,0,124,1,1,36
