,price_reduced_amount,description.year_built,description.sold_price,description.lot_sqft,description.sqft,description.baths,description.garage,description.stories,description.beds,description.type,location.address.state,location.address.city,central_air,dishwasher,basement,fireplace,hardwood_floors,washer_dryer,recreation_facilities,view,fenced_yard,new_roof,updated_kitchen,rental_property,ensuite,median_sold_state
0,0.0,2001.0,345000.0,22651.0,1539.0,2.0,2.0,1.0,3.0,single_family,Pennsylvania,Harrisburg,1,1,1,1,1,1,0,0,0,0,0,0,1,121677.8
1,0.0,1900.0,196000.0,2614.0,2429.0,2.124124276576302,3.0,0.0,3.0,multi_family,Pennsylvania,Harrisburg,0,0,1,0,0,0,0,0,1,0,0,1,0,121677.8
2,0.0,1971.0,205000.0,13504.0,1120.0,2.0,0.0,1.0,3.0,single_family,Pennsylvania,Harrisburg,1,1,1,1,0,1,0,0,0,0,0,0,0,121677.8
3,0.0,2013.0,295000.0,2688.0,2400.0,3.0,1.0,2.0,3.0,townhomes,Pennsylvania,Harrisburg,1,1,1,0,0,0,0,0,0,0,0,0,1,121677.8
4,0.0,1900.0,106000.0,871.0,1478.0,2.124124276576302,0.0,0.0,3.0,multi_family,Pennsylvania,Harrisburg,0,0,1,0,1,0,0,0,0,0,0,0,0,121677.8
5,0.0,1900.0,10000.0,871.0,1608.0,6.0,0.0,3.0,5.0,townhomes,Pennsylvania,Harrisburg,0,0,1,0,0,0,0,0,0,0,0,0,0,121677.8
6,2000.0,1900.0,71500.0,871.0,1528.0,1.0,0.0,3.0,4.0,townhomes,Pennsylvania,Harrisburg,0,0,1,0,0,0,0,0,0,0,0,1,0,121677.8
7,2100.0,1940.0,100000.0,3920.0,728.0,1.0,0.0,1.0,2.0,single_family,Pennsylvania,Harrisburg,1,1,1,0,1,0,0,0,0,0,0,0,0,121677.8
8,0.0,1957.0,208000.0,8712.0,1092.0,1.0,0.0,2.0,3.0,single_family,Pennsylvania,Harrisburg,1,0,1,0,1,0,0,0,0,0,0,0,0,121677.8
10,0.0,2019.0,346000.0,2370.0,1848.0,3.0,2.0,2.0,3.0,townhomes,Pennsylvania,Harrisburg,1,0,1,0,1,0,0,0,0,0,0,0,0,121677.8
11,5100.0,1875.0,219900.0,29621.0,2966.0,2.0,0.0,2.0,4.0,single_family,Pennsylvania,Harrisburg,0,0,1,1,0,1,0,0,0,0,0,0,0,121677.8
12,0.0,1938.0,195000.0,13504.0,1502.0,1.0,0.0,2.0,4.0,single_family,Pennsylvania,Harrisburg,0,0,1,0,0,1,0,0,0,0,0,1,0,121677.8
