description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1952,429000,2,2,1,4,93,0,0,1,0,239,1,1,54
2002,685000,3,1,2,3,128,1,1,0,1,323,0,2,51
1923,138000,2,1,2,3,57,1,1,0,1,76,0,1,29
2015,609000,3,3,1,3,95,1,1,1,1,210,1,1,32
1952,270000,1,2,1,4,66,0,1,1,1,208,1,1,35
1943,779000,3,2,1,3,23,1,1,1,1,453,4,1,14
1996,372500,2,1,2,2,42,1,0,0,0,236,3,0,2
2001,270000,2,2,1,4,-14,1,1,0,0,161,0,1,10
1955,370000,2,1,4,4,68,1,1,1,1,205,1,1,53
1966,128700,2,2,1,3,92,0,0,0,1,95,0,1,13
1966,133000,3,1,1,3,52,0,0,0,1,85,0,1,19
1995,368000,3,2,2,3,60,1,1,1,1,177,3,1,36
1944,110000,1,1,1,2,57,1,1,0,1,132,0,1,29
1995,651000,3,4,1,3,32,1,1,1,1,184,5,1,36
2000,709900,2,2,1,3,85,1,1,1,0,328,3,1,46
1984,220000,2,2,1,3,43,1,0,1,0,166,1,1,44
1981,285000,1,1,1,2,116,0,1,0,0,274,5,0,36
1993,560000,3,2,2,4,56,0,0,1,0,217,0,1,7
1926,203000,2,1,1,2,59,1,1,0,1,213,0,1,32
2007,570000,4,2,2,5,46,1,1,0,0,192,0,1,58
1958,79000,1,1,1,3,36,1,0,0,0,92,0,1,58
1960,250000,2,1,2,3,61,1,0,0,1,108,0,1,16
2018,226000,3,1,2,4,116,0,0,0,0,165,0,2,5
2014,585000,4,2,3,3,118,1,1,1,1,273,1,2,55
1969,145000,2,1,1,3,28,1,1,0,0,70,0,1,40
2001,260000,2,1,1,4,46,1,1,1,0,137,2,1,40
1910,280000,2,1,2,3,125,1,0,0,1,218,0,1,60
1960,371000,2,2,1,3,71,0,0,1,0,252,2,1,54
1925,759000,5,1,2,4,64,1,1,1,1,263,1,1,50
1988,520000,2,2,1,4,43,1,1,1,0,201,1,1,58
1941,160000,1,1,1,2,79,1,1,0,1,186,0,1,15
1994,325000,2,2,1,3,34,1,0,0,0,156,0,1,16
1922,130000,2,1,2,3,35,1,1,0,1,96,0,1,29
2004,195000,2,1,1,3,133,0,1,0,0,138,1,1,19
1966,88000,1,1,1,3,98,1,0,0,1,85,0,1,8
1984,238000,2,1,2,2,66,1,0,1,0,224,0,2,49
2004,660000,4,2,1,4,88,1,1,1,0,201,1,1,58
1993,340000,3,3,1,3,70,1,0,1,0,123,1,1,63
1952,214000,2,2,1,3,55,1,1,0,1,175,0,1,15
1977,425000,2,2,1,4,209,0,0,1,0,230,0,1,7
1972,190000,3,2,2,3,82,1,1,0,1,146,0,0,11
1985,417500,2,2,1,3,77,0,1,1,0,350,2,1,46
