description.year_built,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded,description.year_built^2,description.year_built description.baths,description.year_built description.garage,description.year_built description.stories,description.year_built description.beds,description.year_built num_days,description.year_built central_air,description.year_built dishwasher,description.year_built fireplace,description.year_built basement,description.year_built price_per_sqft,description.year_built median_value_per_sqft,description.year_built description.type_encoded,description.year_built city_encoded,description.baths^2,description.baths description.garage,description.baths description.stories,description.baths description.beds,description.baths num_days,description.baths central_air,description.baths dishwasher,description.baths fireplace,description.baths basement,description.baths price_per_sqft,description.baths median_value_per_sqft,description.baths description.type_encoded,description.baths city_encoded,description.garage^2,description.garage description.stories,description.garage description.beds,description.garage num_days,description.garage central_air,description.garage dishwasher,description.garage fireplace,description.garage basement,description.garage price_per_sqft,description.garage median_value_per_sqft,description.garage description.type_encoded,description.garage city_encoded,description.stories^2,description.stories description.beds,description.stories num_days,description.stories central_air,description.stories dishwasher,description.stories fireplace,description.stories basement,description.stories price_per_sqft,description.stories median_value_per_sqft,description.stories description.type_encoded,description.stories city_encoded,description.beds^2,description.beds num_days,description.beds central_air,description.beds dishwasher,description.beds fireplace,description.beds basement,description.beds price_per_sqft,description.beds median_value_per_sqft,description.beds description.type_encoded,description.beds city_encoded,num_days^2,num_days central_air,num_days dishwasher,num_days fireplace,num_days basement,num_days price_per_sqft,num_days median_value_per_sqft,num_days description.type_encoded,num_days city_encoded,central_air^2,central_air dishwasher,central_air fireplace,central_air basement,central_air price_per_sqft,central_air median_value_per_sqft,central_air description.type_encoded,central_air city_encoded,dishwasher^2,dishwasher fireplace,dishwasher basement,dishwasher price_per_sqft,dishwasher median_value_per_sqft,dishwasher description.type_encoded,dishwasher city_encoded,fireplace^2,fireplace basement,fireplace price_per_sqft,fireplace median_value_per_sqft,fireplace description.type_encoded,fireplace city_encoded,basement^2,basement price_per_sqft,basement median_value_per_sqft,basement description.type_encoded,basement city_encoded,price_per_sqft^2,price_per_sqft median_value_per_sqft,price_per_sqft description.type_encoded,price_per_sqft city_encoded,median_value_per_sqft^2,median_value_per_sqft description.type_encoded,median_value_per_sqft city_encoded,description.type_encoded^2,description.type_encoded city_encoded,city_encoded^2,description.sold_price
1991.0,3.0,1.0,2.0,4.0,-1.0,1.0,1.0,0.0,0.0,128.0,0.0,1.0,12.0,3964081.0,5973.0,1991.0,3982.0,7964.0,-1991.0,1991.0,1991.0,0.0,0.0,254848.0,0.0,1991.0,23892.0,9.0,3.0,6.0,12.0,-3.0,3.0,3.0,0.0,0.0,384.0,0.0,3.0,36.0,1.0,2.0,4.0,-1.0,1.0,1.0,0.0,0.0,128.0,0.0,1.0,12.0,4.0,8.0,-2.0,2.0,2.0,0.0,0.0,256.0,0.0,2.0,24.0,16.0,-4.0,4.0,4.0,0.0,0.0,512.0,0.0,4.0,48.0,1.0,-1.0,-1.0,-0.0,-0.0,-128.0,-0.0,-1.0,-12.0,1.0,1.0,0.0,0.0,128.0,0.0,1.0,12.0,1.0,0.0,0.0,128.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16384.0,0.0,128.0,1536.0,0.0,0.0,0.0,1.0,12.0,144.0,185000
1978.0,2.0,1.0,2.0,4.0,575.0,1.0,0.0,0.0,1.0,163.0,0.0,1.0,18.0,3912484.0,3956.0,1978.0,3956.0,7912.0,1137350.0,1978.0,0.0,0.0,1978.0,322414.0,0.0,1978.0,35604.0,4.0,2.0,4.0,8.0,1150.0,2.0,0.0,0.0,2.0,326.0,0.0,2.0,36.0,1.0,2.0,4.0,575.0,1.0,0.0,0.0,1.0,163.0,0.0,1.0,18.0,4.0,8.0,1150.0,2.0,0.0,0.0,2.0,326.0,0.0,2.0,36.0,16.0,2300.0,4.0,0.0,0.0,4.0,652.0,0.0,4.0,72.0,330625.0,575.0,0.0,0.0,575.0,93725.0,0.0,575.0,10350.0,1.0,0.0,0.0,1.0,163.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.0,0.0,1.0,18.0,26569.0,0.0,163.0,2934.0,0.0,0.0,0.0,1.0,18.0,324.0,290000
1978.0,2.0,2.0,1.0,4.0,40.0,1.0,1.0,1.0,0.0,257.0,0.0,1.0,56.0,3912484.0,3956.0,3956.0,1978.0,7912.0,79120.0,1978.0,1978.0,1978.0,0.0,508346.0,0.0,1978.0,110768.0,4.0,4.0,2.0,8.0,80.0,2.0,2.0,2.0,0.0,514.0,0.0,2.0,112.0,4.0,2.0,8.0,80.0,2.0,2.0,2.0,0.0,514.0,0.0,2.0,112.0,1.0,4.0,40.0,1.0,1.0,1.0,0.0,257.0,0.0,1.0,56.0,16.0,160.0,4.0,4.0,4.0,0.0,1028.0,0.0,4.0,224.0,1600.0,40.0,40.0,40.0,0.0,10280.0,0.0,40.0,2240.0,1.0,1.0,1.0,0.0,257.0,0.0,1.0,56.0,1.0,1.0,0.0,257.0,0.0,1.0,56.0,1.0,0.0,257.0,0.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,66049.0,0.0,257.0,14392.0,0.0,0.0,0.0,1.0,56.0,3136.0,355000
2022.0,2.0,2.0,2.0,3.0,91.0,1.0,0.0,0.0,0.0,248.0,0.0,1.0,18.0,4088484.0,4044.0,4044.0,4044.0,6066.0,184002.0,2022.0,0.0,0.0,0.0,501456.0,0.0,2022.0,36396.0,4.0,4.0,4.0,6.0,182.0,2.0,0.0,0.0,0.0,496.0,0.0,2.0,36.0,4.0,4.0,6.0,182.0,2.0,0.0,0.0,0.0,496.0,0.0,2.0,36.0,4.0,6.0,182.0,2.0,0.0,0.0,0.0,496.0,0.0,2.0,36.0,9.0,273.0,3.0,0.0,0.0,0.0,744.0,0.0,3.0,54.0,8281.0,91.0,0.0,0.0,0.0,22568.0,0.0,91.0,1638.0,1.0,0.0,0.0,0.0,248.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61504.0,0.0,248.0,4464.0,0.0,0.0,0.0,1.0,18.0,324.0,410000
1950.0,2.0,2.0,1.0,2.0,46.0,1.0,1.0,0.0,1.0,178.0,0.0,1.0,0.0,3802500.0,3900.0,3900.0,1950.0,3900.0,89700.0,1950.0,1950.0,0.0,1950.0,347100.0,0.0,1950.0,0.0,4.0,4.0,2.0,4.0,92.0,2.0,2.0,0.0,2.0,356.0,0.0,2.0,0.0,4.0,2.0,4.0,92.0,2.0,2.0,0.0,2.0,356.0,0.0,2.0,0.0,1.0,2.0,46.0,1.0,1.0,0.0,1.0,178.0,0.0,1.0,0.0,4.0,92.0,2.0,2.0,0.0,2.0,356.0,0.0,2.0,0.0,2116.0,46.0,46.0,0.0,46.0,8188.0,0.0,46.0,0.0,1.0,1.0,0.0,1.0,178.0,0.0,1.0,0.0,1.0,0.0,1.0,178.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,178.0,0.0,1.0,0.0,31684.0,0.0,178.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,259000
1998.0,2.0,2.0,1.0,3.0,52.0,1.0,1.0,1.0,0.0,192.0,1.0,1.0,62.0,3992004.0,3996.0,3996.0,1998.0,5994.0,103896.0,1998.0,1998.0,1998.0,0.0,383616.0,1998.0,1998.0,123876.0,4.0,4.0,2.0,6.0,104.0,2.0,2.0,2.0,0.0,384.0,2.0,2.0,124.0,4.0,2.0,6.0,104.0,2.0,2.0,2.0,0.0,384.0,2.0,2.0,124.0,1.0,3.0,52.0,1.0,1.0,1.0,0.0,192.0,1.0,1.0,62.0,9.0,156.0,3.0,3.0,3.0,0.0,576.0,3.0,3.0,186.0,2704.0,52.0,52.0,52.0,0.0,9984.0,52.0,52.0,3224.0,1.0,1.0,1.0,0.0,192.0,1.0,1.0,62.0,1.0,1.0,0.0,192.0,1.0,1.0,62.0,1.0,0.0,192.0,1.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,36864.0,192.0,192.0,11904.0,1.0,1.0,62.0,1.0,62.0,3844.0,312000
1945.0,3.0,1.0,1.0,3.0,122.0,1.0,0.0,1.0,0.0,54.0,0.0,1.0,43.0,3783025.0,5835.0,1945.0,1945.0,5835.0,237290.0,1945.0,0.0,1945.0,0.0,105030.0,0.0,1945.0,83635.0,9.0,3.0,3.0,9.0,366.0,3.0,0.0,3.0,0.0,162.0,0.0,3.0,129.0,1.0,1.0,3.0,122.0,1.0,0.0,1.0,0.0,54.0,0.0,1.0,43.0,1.0,3.0,122.0,1.0,0.0,1.0,0.0,54.0,0.0,1.0,43.0,9.0,366.0,3.0,0.0,3.0,0.0,162.0,0.0,3.0,129.0,14884.0,122.0,0.0,122.0,0.0,6588.0,0.0,122.0,5246.0,1.0,0.0,1.0,0.0,54.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,0.0,1.0,43.0,0.0,0.0,0.0,0.0,0.0,2916.0,0.0,54.0,2322.0,0.0,0.0,0.0,1.0,43.0,1849.0,170000
1975.0,5.0,3.0,1.0,6.0,96.0,0.0,0.0,1.0,0.0,204.0,0.0,1.0,9.0,3900625.0,9875.0,5925.0,1975.0,11850.0,189600.0,0.0,0.0,1975.0,0.0,402900.0,0.0,1975.0,17775.0,25.0,15.0,5.0,30.0,480.0,0.0,0.0,5.0,0.0,1020.0,0.0,5.0,45.0,9.0,3.0,18.0,288.0,0.0,0.0,3.0,0.0,612.0,0.0,3.0,27.0,1.0,6.0,96.0,0.0,0.0,1.0,0.0,204.0,0.0,1.0,9.0,36.0,576.0,0.0,0.0,6.0,0.0,1224.0,0.0,6.0,54.0,9216.0,0.0,0.0,96.0,0.0,19584.0,0.0,96.0,864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,204.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,41616.0,0.0,204.0,1836.0,0.0,0.0,0.0,1.0,9.0,81.0,650000
2004.0,3.0,3.0,2.0,4.0,133.0,1.0,1.0,1.0,1.0,183.0,0.0,1.0,17.0,4016016.0,6012.0,6012.0,4008.0,8016.0,266532.0,2004.0,2004.0,2004.0,2004.0,366732.0,0.0,2004.0,34068.0,9.0,9.0,6.0,12.0,399.0,3.0,3.0,3.0,3.0,549.0,0.0,3.0,51.0,9.0,6.0,12.0,399.0,3.0,3.0,3.0,3.0,549.0,0.0,3.0,51.0,4.0,8.0,266.0,2.0,2.0,2.0,2.0,366.0,0.0,2.0,34.0,16.0,532.0,4.0,4.0,4.0,4.0,732.0,0.0,4.0,68.0,17689.0,133.0,133.0,133.0,133.0,24339.0,0.0,133.0,2261.0,1.0,1.0,1.0,1.0,183.0,0.0,1.0,17.0,1.0,1.0,1.0,183.0,0.0,1.0,17.0,1.0,1.0,183.0,0.0,1.0,17.0,1.0,183.0,0.0,1.0,17.0,33489.0,0.0,183.0,3111.0,0.0,0.0,0.0,1.0,17.0,289.0,315000
2007.0,3.0,1.0,2.0,3.0,49.0,1.0,1.0,0.0,0.0,153.0,0.0,2.0,18.0,4028049.0,6021.0,2007.0,4014.0,6021.0,98343.0,2007.0,2007.0,0.0,0.0,307071.0,0.0,4014.0,36126.0,9.0,3.0,6.0,9.0,147.0,3.0,3.0,0.0,0.0,459.0,0.0,6.0,54.0,1.0,2.0,3.0,49.0,1.0,1.0,0.0,0.0,153.0,0.0,2.0,18.0,4.0,6.0,98.0,2.0,2.0,0.0,0.0,306.0,0.0,4.0,36.0,9.0,147.0,3.0,3.0,0.0,0.0,459.0,0.0,6.0,54.0,2401.0,49.0,49.0,0.0,0.0,7497.0,0.0,98.0,882.0,1.0,1.0,0.0,0.0,153.0,0.0,2.0,18.0,1.0,0.0,0.0,153.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23409.0,0.0,306.0,2754.0,0.0,0.0,0.0,4.0,36.0,324.0,319999
