description.year_built,description.garage,description.stories,description.beds,dishwasher,fireplace,basement,hardwood_floors,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded,state_encoded,description.year_built^2,description.year_built description.garage,description.year_built description.stories,description.year_built description.beds,description.year_built dishwasher,description.year_built fireplace,description.year_built basement,description.year_built hardwood_floors,description.year_built price_per_sqft,description.year_built median_value_per_sqft,description.year_built description.type_encoded,description.year_built city_encoded,description.year_built state_encoded,description.garage^2,description.garage description.stories,description.garage description.beds,description.garage dishwasher,description.garage fireplace,description.garage basement,description.garage hardwood_floors,description.garage price_per_sqft,description.garage median_value_per_sqft,description.garage description.type_encoded,description.garage city_encoded,description.garage state_encoded,description.stories^2,description.stories description.beds,description.stories dishwasher,description.stories fireplace,description.stories basement,description.stories hardwood_floors,description.stories price_per_sqft,description.stories median_value_per_sqft,description.stories description.type_encoded,description.stories city_encoded,description.stories state_encoded,description.beds^2,description.beds dishwasher,description.beds fireplace,description.beds basement,description.beds hardwood_floors,description.beds price_per_sqft,description.beds median_value_per_sqft,description.beds description.type_encoded,description.beds city_encoded,description.beds state_encoded,dishwasher^2,dishwasher fireplace,dishwasher basement,dishwasher hardwood_floors,dishwasher price_per_sqft,dishwasher median_value_per_sqft,dishwasher description.type_encoded,dishwasher city_encoded,dishwasher state_encoded,fireplace^2,fireplace basement,fireplace hardwood_floors,fireplace price_per_sqft,fireplace median_value_per_sqft,fireplace description.type_encoded,fireplace city_encoded,fireplace state_encoded,basement^2,basement hardwood_floors,basement price_per_sqft,basement median_value_per_sqft,basement description.type_encoded,basement city_encoded,basement state_encoded,hardwood_floors^2,hardwood_floors price_per_sqft,hardwood_floors median_value_per_sqft,hardwood_floors description.type_encoded,hardwood_floors city_encoded,hardwood_floors state_encoded,price_per_sqft^2,price_per_sqft median_value_per_sqft,price_per_sqft description.type_encoded,price_per_sqft city_encoded,price_per_sqft state_encoded,median_value_per_sqft^2,median_value_per_sqft description.type_encoded,median_value_per_sqft city_encoded,median_value_per_sqft state_encoded,description.type_encoded^2,description.type_encoded city_encoded,description.type_encoded state_encoded,city_encoded^2,city_encoded state_encoded,state_encoded^2,description.sold_price
1994.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,200.0,0.0,1.0,63.0,7.0,3976036.0,1994.0,1994.0,5982.0,1994.0,1994.0,0.0,0.0,398800.0,0.0,1994.0,125622.0,13958.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,200.0,0.0,1.0,63.0,7.0,1.0,3.0,1.0,1.0,0.0,0.0,200.0,0.0,1.0,63.0,7.0,9.0,3.0,3.0,0.0,0.0,600.0,0.0,3.0,189.0,21.0,1.0,1.0,0.0,0.0,200.0,0.0,1.0,63.0,7.0,1.0,0.0,0.0,200.0,0.0,1.0,63.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,200.0,12600.0,1400.0,0.0,0.0,0.0,0.0,1.0,63.0,7.0,3969.0,441.0,49.0,211000
1980.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,253.0,0.0,1.0,16.0,6.0,3920400.0,1980.0,1980.0,5940.0,0.0,0.0,0.0,0.0,500940.0,0.0,1980.0,31680.0,11880.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,253.0,0.0,1.0,16.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,253.0,0.0,1.0,16.0,6.0,9.0,0.0,0.0,0.0,0.0,759.0,0.0,3.0,48.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64009.0,0.0,253.0,4048.0,1518.0,0.0,0.0,0.0,0.0,1.0,16.0,6.0,256.0,96.0,36.0,250000
1960.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,204.0,1.0,0.0,6.0,8.0,3841600.0,1960.0,3920.0,3920.0,1960.0,0.0,0.0,1960.0,399840.0,1960.0,0.0,11760.0,15680.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,204.0,1.0,0.0,6.0,8.0,4.0,4.0,2.0,0.0,0.0,2.0,408.0,2.0,0.0,12.0,16.0,4.0,2.0,0.0,0.0,2.0,408.0,2.0,0.0,12.0,16.0,1.0,0.0,0.0,1.0,204.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,204.0,1.0,0.0,6.0,8.0,41616.0,204.0,0.0,1224.0,1632.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0,36.0,48.0,64.0,232000
2022.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,269.0,1.0,1.0,54.0,22.0,4088484.0,4044.0,2022.0,6066.0,2022.0,0.0,0.0,0.0,543918.0,2022.0,2022.0,109188.0,44484.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,538.0,2.0,2.0,108.0,44.0,1.0,3.0,1.0,0.0,0.0,0.0,269.0,1.0,1.0,54.0,22.0,9.0,3.0,0.0,0.0,0.0,807.0,3.0,3.0,162.0,66.0,1.0,0.0,0.0,0.0,269.0,1.0,1.0,54.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72361.0,269.0,269.0,14526.0,5918.0,1.0,1.0,54.0,22.0,1.0,54.0,22.0,2916.0,1188.0,484.0,425000
2020.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,273.0,0.0,2.0,8.0,19.0,4080400.0,4040.0,4040.0,6060.0,0.0,0.0,0.0,0.0,551460.0,0.0,4040.0,16160.0,38380.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,546.0,0.0,4.0,16.0,38.0,4.0,6.0,0.0,0.0,0.0,0.0,546.0,0.0,4.0,16.0,38.0,9.0,0.0,0.0,0.0,0.0,819.0,0.0,6.0,24.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74529.0,0.0,546.0,2184.0,5187.0,0.0,0.0,0.0,0.0,4.0,16.0,38.0,64.0,152.0,361.0,415000
1962.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,171.0,1.0,1.0,0.0,21.0,3849444.0,1962.0,1962.0,7848.0,0.0,1962.0,0.0,1962.0,335502.0,1962.0,1962.0,0.0,41202.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,171.0,1.0,1.0,0.0,21.0,1.0,4.0,0.0,1.0,0.0,1.0,171.0,1.0,1.0,0.0,21.0,16.0,0.0,4.0,0.0,4.0,684.0,4.0,4.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,171.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,171.0,1.0,1.0,0.0,21.0,29241.0,171.0,171.0,0.0,3591.0,1.0,1.0,0.0,21.0,1.0,0.0,21.0,0.0,0.0,441.0,300000
1995.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,224.0,0.0,1.0,63.0,7.0,3980025.0,3990.0,1995.0,7980.0,1995.0,1995.0,0.0,1995.0,446880.0,0.0,1995.0,125685.0,13965.0,4.0,2.0,8.0,2.0,2.0,0.0,2.0,448.0,0.0,2.0,126.0,14.0,1.0,4.0,1.0,1.0,0.0,1.0,224.0,0.0,1.0,63.0,7.0,16.0,4.0,4.0,0.0,4.0,896.0,0.0,4.0,252.0,28.0,1.0,1.0,0.0,1.0,224.0,0.0,1.0,63.0,7.0,1.0,0.0,1.0,224.0,0.0,1.0,63.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224.0,0.0,1.0,63.0,7.0,50176.0,0.0,224.0,14112.0,1568.0,0.0,0.0,0.0,0.0,1.0,63.0,7.0,3969.0,441.0,49.0,425000
1912.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,132.0,0.0,1.0,58.0,17.0,3655744.0,1912.0,3824.0,7648.0,0.0,0.0,1912.0,1912.0,252384.0,0.0,1912.0,110896.0,32504.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,132.0,0.0,1.0,58.0,17.0,4.0,8.0,0.0,0.0,2.0,2.0,264.0,0.0,2.0,116.0,34.0,16.0,0.0,0.0,4.0,4.0,528.0,0.0,4.0,232.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,132.0,0.0,1.0,58.0,17.0,1.0,132.0,0.0,1.0,58.0,17.0,17424.0,0.0,132.0,7656.0,2244.0,0.0,0.0,0.0,0.0,1.0,58.0,17.0,3364.0,986.0,289.0,200791
1897.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,111.0,0.0,1.0,65.0,20.0,3598609.0,1897.0,5691.0,5691.0,0.0,0.0,1897.0,0.0,210567.0,0.0,1897.0,123305.0,37940.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,111.0,0.0,1.0,65.0,20.0,9.0,9.0,0.0,0.0,3.0,0.0,333.0,0.0,3.0,195.0,60.0,9.0,0.0,0.0,3.0,0.0,333.0,0.0,3.0,195.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,111.0,0.0,1.0,65.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12321.0,0.0,111.0,7215.0,2220.0,0.0,0.0,0.0,0.0,1.0,65.0,20.0,4225.0,1300.0,400.0,153000
1982.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,146.0,1.0,1.0,36.0,2.0,3928324.0,3964.0,3964.0,7928.0,0.0,1982.0,0.0,1982.0,289372.0,1982.0,1982.0,71352.0,3964.0,4.0,4.0,8.0,0.0,2.0,0.0,2.0,292.0,2.0,2.0,72.0,4.0,4.0,8.0,0.0,2.0,0.0,2.0,292.0,2.0,2.0,72.0,4.0,16.0,0.0,4.0,0.0,4.0,584.0,4.0,4.0,144.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,146.0,1.0,1.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,146.0,1.0,1.0,36.0,2.0,21316.0,146.0,146.0,5256.0,292.0,1.0,1.0,36.0,2.0,1.0,36.0,2.0,1296.0,72.0,4.0,417000
