description.year_built,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded,description.year_built^2,description.year_built description.baths,description.year_built description.garage,description.year_built description.stories,description.year_built description.beds,description.year_built num_days,description.year_built central_air,description.year_built dishwasher,description.year_built fireplace,description.year_built basement,description.year_built price_per_sqft,description.year_built median_value_per_sqft,description.year_built description.type_encoded,description.year_built city_encoded,description.baths^2,description.baths description.garage,description.baths description.stories,description.baths description.beds,description.baths num_days,description.baths central_air,description.baths dishwasher,description.baths fireplace,description.baths basement,description.baths price_per_sqft,description.baths median_value_per_sqft,description.baths description.type_encoded,description.baths city_encoded,description.garage^2,description.garage description.stories,description.garage description.beds,description.garage num_days,description.garage central_air,description.garage dishwasher,description.garage fireplace,description.garage basement,description.garage price_per_sqft,description.garage median_value_per_sqft,description.garage description.type_encoded,description.garage city_encoded,description.stories^2,description.stories description.beds,description.stories num_days,description.stories central_air,description.stories dishwasher,description.stories fireplace,description.stories basement,description.stories price_per_sqft,description.stories median_value_per_sqft,description.stories description.type_encoded,description.stories city_encoded,description.beds^2,description.beds num_days,description.beds central_air,description.beds dishwasher,description.beds fireplace,description.beds basement,description.beds price_per_sqft,description.beds median_value_per_sqft,description.beds description.type_encoded,description.beds city_encoded,num_days^2,num_days central_air,num_days dishwasher,num_days fireplace,num_days basement,num_days price_per_sqft,num_days median_value_per_sqft,num_days description.type_encoded,num_days city_encoded,central_air^2,central_air dishwasher,central_air fireplace,central_air basement,central_air price_per_sqft,central_air median_value_per_sqft,central_air description.type_encoded,central_air city_encoded,dishwasher^2,dishwasher fireplace,dishwasher basement,dishwasher price_per_sqft,dishwasher median_value_per_sqft,dishwasher description.type_encoded,dishwasher city_encoded,fireplace^2,fireplace basement,fireplace price_per_sqft,fireplace median_value_per_sqft,fireplace description.type_encoded,fireplace city_encoded,basement^2,basement price_per_sqft,basement median_value_per_sqft,basement description.type_encoded,basement city_encoded,price_per_sqft^2,price_per_sqft median_value_per_sqft,price_per_sqft description.type_encoded,price_per_sqft city_encoded,median_value_per_sqft^2,median_value_per_sqft description.type_encoded,median_value_per_sqft city_encoded,description.type_encoded^2,description.type_encoded city_encoded,city_encoded^2,description.sold_price
1952.0,2.0,2.0,1.0,4.0,93.0,0.0,0.0,1.0,0.0,239.0,1.0,1.0,54.0,3810304.0,3904.0,3904.0,1952.0,7808.0,181536.0,0.0,0.0,1952.0,0.0,466528.0,1952.0,1952.0,105408.0,4.0,4.0,2.0,8.0,186.0,0.0,0.0,2.0,0.0,478.0,2.0,2.0,108.0,4.0,2.0,8.0,186.0,0.0,0.0,2.0,0.0,478.0,2.0,2.0,108.0,1.0,4.0,93.0,0.0,0.0,1.0,0.0,239.0,1.0,1.0,54.0,16.0,372.0,0.0,0.0,4.0,0.0,956.0,4.0,4.0,216.0,8649.0,0.0,0.0,93.0,0.0,22227.0,93.0,93.0,5022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,239.0,1.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,57121.0,239.0,239.0,12906.0,1.0,1.0,54.0,1.0,54.0,2916.0,429000
2002.0,3.0,1.0,2.0,3.0,128.0,1.0,1.0,0.0,1.0,323.0,0.0,2.0,51.0,4008004.0,6006.0,2002.0,4004.0,6006.0,256256.0,2002.0,2002.0,0.0,2002.0,646646.0,0.0,4004.0,102102.0,9.0,3.0,6.0,9.0,384.0,3.0,3.0,0.0,3.0,969.0,0.0,6.0,153.0,1.0,2.0,3.0,128.0,1.0,1.0,0.0,1.0,323.0,0.0,2.0,51.0,4.0,6.0,256.0,2.0,2.0,0.0,2.0,646.0,0.0,4.0,102.0,9.0,384.0,3.0,3.0,0.0,3.0,969.0,0.0,6.0,153.0,16384.0,128.0,128.0,0.0,128.0,41344.0,0.0,256.0,6528.0,1.0,1.0,0.0,1.0,323.0,0.0,2.0,51.0,1.0,0.0,1.0,323.0,0.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,323.0,0.0,2.0,51.0,104329.0,0.0,646.0,16473.0,0.0,0.0,0.0,4.0,102.0,2601.0,685000
1923.0,2.0,1.0,2.0,3.0,57.0,1.0,1.0,0.0,1.0,76.0,0.0,1.0,29.0,3697929.0,3846.0,1923.0,3846.0,5769.0,109611.0,1923.0,1923.0,0.0,1923.0,146148.0,0.0,1923.0,55767.0,4.0,2.0,4.0,6.0,114.0,2.0,2.0,0.0,2.0,152.0,0.0,2.0,58.0,1.0,2.0,3.0,57.0,1.0,1.0,0.0,1.0,76.0,0.0,1.0,29.0,4.0,6.0,114.0,2.0,2.0,0.0,2.0,152.0,0.0,2.0,58.0,9.0,171.0,3.0,3.0,0.0,3.0,228.0,0.0,3.0,87.0,3249.0,57.0,57.0,0.0,57.0,4332.0,0.0,57.0,1653.0,1.0,1.0,0.0,1.0,76.0,0.0,1.0,29.0,1.0,0.0,1.0,76.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,0.0,1.0,29.0,5776.0,0.0,76.0,2204.0,0.0,0.0,0.0,1.0,29.0,841.0,138000
2015.0,3.0,3.0,1.0,3.0,95.0,1.0,1.0,1.0,1.0,210.0,1.0,1.0,32.0,4060225.0,6045.0,6045.0,2015.0,6045.0,191425.0,2015.0,2015.0,2015.0,2015.0,423150.0,2015.0,2015.0,64480.0,9.0,9.0,3.0,9.0,285.0,3.0,3.0,3.0,3.0,630.0,3.0,3.0,96.0,9.0,3.0,9.0,285.0,3.0,3.0,3.0,3.0,630.0,3.0,3.0,96.0,1.0,3.0,95.0,1.0,1.0,1.0,1.0,210.0,1.0,1.0,32.0,9.0,285.0,3.0,3.0,3.0,3.0,630.0,3.0,3.0,96.0,9025.0,95.0,95.0,95.0,95.0,19950.0,95.0,95.0,3040.0,1.0,1.0,1.0,1.0,210.0,1.0,1.0,32.0,1.0,1.0,1.0,210.0,1.0,1.0,32.0,1.0,1.0,210.0,1.0,1.0,32.0,1.0,210.0,1.0,1.0,32.0,44100.0,210.0,210.0,6720.0,1.0,1.0,32.0,1.0,32.0,1024.0,609000
1952.0,1.0,2.0,1.0,4.0,66.0,0.0,1.0,1.0,1.0,208.0,1.0,1.0,35.0,3810304.0,1952.0,3904.0,1952.0,7808.0,128832.0,0.0,1952.0,1952.0,1952.0,406016.0,1952.0,1952.0,68320.0,1.0,2.0,1.0,4.0,66.0,0.0,1.0,1.0,1.0,208.0,1.0,1.0,35.0,4.0,2.0,8.0,132.0,0.0,2.0,2.0,2.0,416.0,2.0,2.0,70.0,1.0,4.0,66.0,0.0,1.0,1.0,1.0,208.0,1.0,1.0,35.0,16.0,264.0,0.0,4.0,4.0,4.0,832.0,4.0,4.0,140.0,4356.0,0.0,66.0,66.0,66.0,13728.0,66.0,66.0,2310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,208.0,1.0,1.0,35.0,1.0,1.0,208.0,1.0,1.0,35.0,1.0,208.0,1.0,1.0,35.0,43264.0,208.0,208.0,7280.0,1.0,1.0,35.0,1.0,35.0,1225.0,270000
1943.0,3.0,2.0,1.0,3.0,23.0,1.0,1.0,1.0,1.0,453.0,4.0,1.0,14.0,3775249.0,5829.0,3886.0,1943.0,5829.0,44689.0,1943.0,1943.0,1943.0,1943.0,880179.0,7772.0,1943.0,27202.0,9.0,6.0,3.0,9.0,69.0,3.0,3.0,3.0,3.0,1359.0,12.0,3.0,42.0,4.0,2.0,6.0,46.0,2.0,2.0,2.0,2.0,906.0,8.0,2.0,28.0,1.0,3.0,23.0,1.0,1.0,1.0,1.0,453.0,4.0,1.0,14.0,9.0,69.0,3.0,3.0,3.0,3.0,1359.0,12.0,3.0,42.0,529.0,23.0,23.0,23.0,23.0,10419.0,92.0,23.0,322.0,1.0,1.0,1.0,1.0,453.0,4.0,1.0,14.0,1.0,1.0,1.0,453.0,4.0,1.0,14.0,1.0,1.0,453.0,4.0,1.0,14.0,1.0,453.0,4.0,1.0,14.0,205209.0,1812.0,453.0,6342.0,16.0,4.0,56.0,1.0,14.0,196.0,779000
1996.0,2.0,1.0,2.0,2.0,42.0,1.0,0.0,0.0,0.0,236.0,3.0,0.0,2.0,3984016.0,3992.0,1996.0,3992.0,3992.0,83832.0,1996.0,0.0,0.0,0.0,471056.0,5988.0,0.0,3992.0,4.0,2.0,4.0,4.0,84.0,2.0,0.0,0.0,0.0,472.0,6.0,0.0,4.0,1.0,2.0,2.0,42.0,1.0,0.0,0.0,0.0,236.0,3.0,0.0,2.0,4.0,4.0,84.0,2.0,0.0,0.0,0.0,472.0,6.0,0.0,4.0,4.0,84.0,2.0,0.0,0.0,0.0,472.0,6.0,0.0,4.0,1764.0,42.0,0.0,0.0,0.0,9912.0,126.0,0.0,84.0,1.0,0.0,0.0,0.0,236.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55696.0,708.0,0.0,472.0,9.0,0.0,6.0,0.0,0.0,4.0,372500
2001.0,2.0,2.0,1.0,4.0,-14.0,1.0,1.0,0.0,0.0,161.0,0.0,1.0,10.0,4004001.0,4002.0,4002.0,2001.0,8004.0,-28014.0,2001.0,2001.0,0.0,0.0,322161.0,0.0,2001.0,20010.0,4.0,4.0,2.0,8.0,-28.0,2.0,2.0,0.0,0.0,322.0,0.0,2.0,20.0,4.0,2.0,8.0,-28.0,2.0,2.0,0.0,0.0,322.0,0.0,2.0,20.0,1.0,4.0,-14.0,1.0,1.0,0.0,0.0,161.0,0.0,1.0,10.0,16.0,-56.0,4.0,4.0,0.0,0.0,644.0,0.0,4.0,40.0,196.0,-14.0,-14.0,-0.0,-0.0,-2254.0,-0.0,-14.0,-140.0,1.0,1.0,0.0,0.0,161.0,0.0,1.0,10.0,1.0,0.0,0.0,161.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25921.0,0.0,161.0,1610.0,0.0,0.0,0.0,1.0,10.0,100.0,270000
1955.0,2.0,1.0,4.0,4.0,68.0,1.0,1.0,1.0,1.0,205.0,1.0,1.0,53.0,3822025.0,3910.0,1955.0,7820.0,7820.0,132940.0,1955.0,1955.0,1955.0,1955.0,400775.0,1955.0,1955.0,103615.0,4.0,2.0,8.0,8.0,136.0,2.0,2.0,2.0,2.0,410.0,2.0,2.0,106.0,1.0,4.0,4.0,68.0,1.0,1.0,1.0,1.0,205.0,1.0,1.0,53.0,16.0,16.0,272.0,4.0,4.0,4.0,4.0,820.0,4.0,4.0,212.0,16.0,272.0,4.0,4.0,4.0,4.0,820.0,4.0,4.0,212.0,4624.0,68.0,68.0,68.0,68.0,13940.0,68.0,68.0,3604.0,1.0,1.0,1.0,1.0,205.0,1.0,1.0,53.0,1.0,1.0,1.0,205.0,1.0,1.0,53.0,1.0,1.0,205.0,1.0,1.0,53.0,1.0,205.0,1.0,1.0,53.0,42025.0,205.0,205.0,10865.0,1.0,1.0,53.0,1.0,53.0,2809.0,370000
1966.0,2.0,2.0,1.0,3.0,92.0,0.0,0.0,0.0,1.0,95.0,0.0,1.0,13.0,3865156.0,3932.0,3932.0,1966.0,5898.0,180872.0,0.0,0.0,0.0,1966.0,186770.0,0.0,1966.0,25558.0,4.0,4.0,2.0,6.0,184.0,0.0,0.0,0.0,2.0,190.0,0.0,2.0,26.0,4.0,2.0,6.0,184.0,0.0,0.0,0.0,2.0,190.0,0.0,2.0,26.0,1.0,3.0,92.0,0.0,0.0,0.0,1.0,95.0,0.0,1.0,13.0,9.0,276.0,0.0,0.0,0.0,3.0,285.0,0.0,3.0,39.0,8464.0,0.0,0.0,0.0,92.0,8740.0,0.0,92.0,1196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,95.0,0.0,1.0,13.0,9025.0,0.0,95.0,1235.0,0.0,0.0,0.0,1.0,13.0,169.0,128700
